Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,Address__c,Assessed_Value__c,Baths__c,Beds__c,Broker__c,City__c,Date_Agreement__c,Date_Closed__c,Date_Contracted__c,Date_Listed__c,Date_Pre_Market__c,Description__c,Location__Latitude__s,Location__Longitude__s,Picture__c,Price_Sold__c,Price__c,Record_Link__c,State__c,Status__c,Tags__c,Thumbnail__c,Zip__c,Days_On_Market__c,Picture_IMG__c,Thumbnail_IMG__c,Street_Address__c
a01dM00000HEjyBQAT,005dM000004WE3FQAW,False,Stunning Victorian,1720591908000,005dM000004WE3FQAW,1720591908000,005dM000004WE3FQAW,1720591908000,,1720591908000,1720591908000,18 Henry st,,3.0,4.0,a00dM00000DMNY7QAP,Cambridge,,,,2024-05-22,,Lorem ipsum dolor sit amet,42.35663,-71.11095,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house01.jpg,,975000.0,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/a01dM00000HEjyB,MA,,victorian,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house01sq.jpg,01742,117.0,"<img src=""https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house01.jpg"" alt=""Picture"" border=""0""/>","<img src=""https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house01sq.jpg"" alt=""Picture"" style=""height:200px; width:200px;"" border=""0""/>",
a01dM00000HEjyCQAT,005dM000004WE3FQAW,False,Ultimate Sophistication,1720591908000,005dM000004WE3FQAW,1720591908000,005dM000004WE3FQAW,1720591908000,,1720591908000,1720591908000,24 Pearl st,,4.0,5.0,a00dM00000DMNY8QAP,Cambridge,,,,2024-06-30,,Lorem ipsum dolor sit amet,42.359103,-71.10869,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house02.jpg,,1200000.0,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/a01dM00000HEjyC,MA,,colonial,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house02sq.jpg,02420,78.0,"<img src=""https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house02.jpg"" alt=""Picture"" border=""0""/>","<img src=""https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house02sq.jpg"" alt=""Picture"" style=""height:200px; width:200px;"" border=""0""/>",
a01dM00000HEjyDQAT,005dM000004WE3FQAW,False,Modern City Living,1720591908000,005dM000004WE3FQAW,1720591908000,005dM000004WE3FQAW,1720591908000,,1720591908000,1720591908000,72 Francis st,,4.0,5.0,a00dM00000DMNY9QAP,Boston,,,,2024-05-18,,Lorem ipsum dolor sit amet,42.335435,-71.106827,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house03.jpg,,825000.0,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/a01dM00000HEjyD,MA,,contemporary,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house03sq.jpg,02420,121.0,"<img src=""https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house03.jpg"" alt=""Picture"" border=""0""/>","<img src=""https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house03sq.jpg"" alt=""Picture"" style=""height:200px; width:200px;"" border=""0""/>",
a01dM00000HEjyEQAT,005dM000004WE3FQAW,False,Stunning Colonial,1720591908000,005dM000004WE3FQAW,1720591908000,005dM000004WE3FQAW,1720591908000,,1720591908000,1720591908000,32 Prince st,,4.0,5.0,a00dM00000DMNYAQA5,Cambridge,,,,2024-05-18,,Lorem ipsum dolor sit amet,42.360642,-71.110448,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house04.jpg,,930000.0,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/a01dM00000HEjyE,MA,,colonial,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house04sq.jpg,02420,121.0,"<img src=""https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house04.jpg"" alt=""Picture"" border=""0""/>","<img src=""https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house04sq.jpg"" alt=""Picture"" style=""height:200px; width:200px;"" border=""0""/>",
a01dM00000HEjyFQAT,005dM000004WE3FQAW,False,Waterfront in the city,1720591908000,005dM000004WE3FQAW,1720591908000,005dM000004WE3FQAW,1720591908000,,1720591908000,1720591908000,110 Baxter Street,,2.0,3.0,a00dM00000DMNYBQA5,Boston,,,,2024-07-01,,Lorem ipsum dolor sit amet,42.368168,-71.084454,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house05.jpg,,850000.0,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/a01dM00000HEjyF,MA,,contemporary,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house05sq.jpg,02420,77.0,"<img src=""https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house05.jpg"" alt=""Picture"" border=""0""/>","<img src=""https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house05sq.jpg"" alt=""Picture"" style=""height:200px; width:200px;"" border=""0""/>",
a01dM00000HEjyGQAT,005dM000004WE3FQAW,False,Quiet Retreat,1720591908000,005dM000004WE3FQAW,1720591908000,005dM000004WE3FQAW,1720591908000,,1720591908000,1720591908000,448 Hanover st,,2.0,4.0,a00dM00000DMNYCQA5,Boston,,,,2024-05-08,,Lorem ipsum dolor sit amet,42.366855,-71.052617,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house06.jpg,,725000.0,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/a01dM00000HEjyG,MA,,colonial,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house06sq.jpg,02420,131.0,"<img src=""https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house06.jpg"" alt=""Picture"" border=""0""/>","<img src=""https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house06sq.jpg"" alt=""Picture"" style=""height:200px; width:200px;"" border=""0""/>",
a01dM00000HEjyHQAT,005dM000004WE3FQAW,False,City Living,1720591908000,005dM000004WE3FQAW,1720591908000,005dM000004WE3FQAW,1720591908000,,1720591908000,1720591908000,127 Endicott St,,1.0,3.0,a00dM00000DMNYDQA5,Boston,,,,2024-04-15,,Lorem ipsum dolor sit amet,42.365003,-71.057352,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house07.jpg,,450000.0,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/a01dM00000HEjyH,MA,,colonial,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house07sq.jpg,02420,154.0,"<img src=""https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house07.jpg"" alt=""Picture"" border=""0""/>","<img src=""https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house07sq.jpg"" alt=""Picture"" style=""height:200px; width:200px;"" border=""0""/>",
a01dM00000HEjyIQAT,005dM000004WE3FQAW,False,Heart of Harvard Square,1720591908000,005dM000004WE3FQAW,1720591908000,005dM000004WE3FQAW,1720591908000,,1720591908000,1720591908000,48 Brattle st,,4.0,5.0,a00dM00000DMNYEQA5,Cambridge,,,,2024-06-29,,Lorem ipsum dolor sit amet,42.374117,-71.121653,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house10.jpg,,450000.0,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/a01dM00000HEjyI,MA,,victorian,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house10sq.jpg,02420,79.0,"<img src=""https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house10.jpg"" alt=""Picture"" border=""0""/>","<img src=""https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house10sq.jpg"" alt=""Picture"" style=""height:200px; width:200px;"" border=""0""/>",
a01dM00000HEjyJQAT,005dM000004WE3FQAW,False,Seaport District Retreat,1720591908000,005dM000004WE3FQAW,1720591908000,005dM000004WE3FQAW,1720591908000,,1720591908000,1720591908000,121 Harborwalk,,3.0,3.0,a00dM00000DMNY7QAP,Boston,,,,2024-04-26,,Lorem ipsum dolor sit amet,42.35695,-71.049327,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house09.jpg,,450000.0,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/a01dM00000HEjyJ,MA,,contemporary,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house09sq.jpg,02420,143.0,"<img src=""https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house09.jpg"" alt=""Picture"" border=""0""/>","<img src=""https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house09sq.jpg"" alt=""Picture"" style=""height:200px; width:200px;"" border=""0""/>",
a01dM00000HEjyKQAT,005dM000004WE3FQAW,False,Contemporary City Living,1720591908000,005dM000004WE3FQAW,1720591908000,005dM000004WE3FQAW,1720591908000,,1720591908000,1720591908000,640 Harrison Ave,,2.0,2.0,a00dM00000DMNY8QAP,Boston,,,,2024-05-09,,Lorem ipsum dolor sit amet,42.339892,-71.068781,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house08.jpg,,650000.0,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/a01dM00000HEjyK,MA,,contemporary,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house08sq.jpg,02420,130.0,"<img src=""https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house08.jpg"" alt=""Picture"" border=""0""/>","<img src=""https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house08sq.jpg"" alt=""Picture"" style=""height:200px; width:200px;"" border=""0""/>",
