Id,IsDeleted,CampaignId,Label,SortOrder,IsDefault,HasResponded,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp
01YdM000000wYJ3UAM,False,701dM00000HEmsBQAT,Sent,2,False,False,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000
01YdM000000wYJ4UAM,False,701dM00000HEmsBQAT,Received,3,False,False,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000
01YdM000000wYJ5UAM,False,701dM00000HEmsBQAT,Responded,4,False,True,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000
01YdM000000wYJ6UAM,False,701dM00000HEmsAQAT,Sent,2,False,False,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000
01YdM000000wYJ7UAM,False,701dM00000HEmsAQAT,Received,3,False,False,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000
01YdM000000wYJ8UAM,False,701dM00000HEmsAQAT,Responded,4,False,True,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000
01YdM000000wYJ9UAM,False,701dM00000HEmsCQAT,Sent,2,False,False,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000
01YdM000000wYJAUA2,False,701dM00000HEmsCQAT,Received,3,False,False,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000
01YdM000000wYJBUA2,False,701dM00000HEmsCQAT,Responded,4,False,True,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000
01YdM000000wYJCUA2,False,701dM00000HEmsDQAT,Sent,2,False,False,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000
01YdM000000wYJDUA2,False,701dM00000HEmsDQAT,Received,3,False,False,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000
01YdM000000wYJEUA2,False,701dM00000HEmsDQAT,Responded,4,False,True,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000
