Id,Name,ProductCode,Description,IsActive,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,Family,ExternalDataSourceId,ExternalId,DisplayUrl,QuantityUnitOfMeasure,IsDeleted,IsArchived,LastViewedDate,LastReferencedDate,StockKeepingUnit,Macaron_Flavor__c,Shirt__c
01tdM000004kjvtQAA,Robotic Arm Assembly System,,Robotic Arm Assembly System,True,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,,,,,False,False,,,,,
01tdM000004kjvuQAA,Wheeled Assembly System,,Wheeled Assembly System,True,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,,,,,False,False,,,,,
01tdM000004kjvvQAA,Fixed-Base Assembly System,,Fixed-Base Assembly System,True,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,,,,,False,False,,,,,
01tdM000004kjvwQAA,Large CloudyBot,,Large CloudyBot,True,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,,,,,False,False,,,,,
01tdM000004kjvxQAA,Medium CloudyBot,,Medium CloudyBot,True,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,,,,,False,False,,,,,
01tdM000004kjvyQAA,Small CloudyBot,,Small CloudyBot,True,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,,,,,False,False,,,,,
01tdM000004kjvzQAA,Large RainbowBot,,Large RainbowBot,True,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,,,,,False,False,,,,,
01tdM000004kjw0QAA,Medium RainbowBot,,Medium RainbowBot,True,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,,,,,False,False,,,,,
01tdM000004kjw1QAA,Small RainbowBot,,Small RainbowBot,True,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,,,,,False,False,,,,,
01tdM000004kjw2QAA,GenWatt Diesel 200kW,GC1040,,True,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,,,,,False,False,,,,,
01tdM000004kjw3QAA,GenWatt Diesel 10kW,GC1020,,True,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,,,,,False,False,,,,,
01tdM000004kjw4QAA,Installation: Industrial - High,IN7080,,True,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,,,,,False,False,,,,,
01tdM000004kjw5QAA,SLA: Silver,SL9040,,True,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,,,,,False,False,,,,,
01tdM000004kjw6QAA,GenWatt Propane 500kW,GC3040,,True,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,,,,,False,False,,,,,
01tdM000004kjw7QAA,SLA: Platinum,SL9080,,True,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,,,,,False,False,,,,,
01tdM000004kjw8QAA,GenWatt Propane 100kW,GC3020,,True,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,,,,,False,False,,,,,
01tdM000004kjw9QAA,GenWatt Propane 1500kW,GC3060,,True,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,,,,,False,False,,,,,
01tdM000004kjwAQAQ,GenWatt Diesel 1000kW,GC1060,,True,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,,,,,False,False,,,,,
01tdM000004kjwBQAQ,SLA: Bronze,SL9020,,True,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,,,,,False,False,,,,,
01tdM000004kjwCQAQ,GenWatt Gasoline 750kW,GC5040,,True,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,,,,,False,False,,,,,
01tdM000004kjwDQAQ,Installation: Portable,IN7020,,True,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,,,,,False,False,,,,,
01tdM000004kjwEQAQ,SLA: Gold,SL9060,,True,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,,,,,False,False,,,,,
01tdM000004kjwFQAQ,GenWatt Gasoline 300kW,GC5020,,True,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,,,,,False,False,,,,,
01tdM000004kjwGQAQ,Installation: Industrial - Low,IN7040,,True,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,,,,,False,False,,,,,
01tdM000004kjwHQAQ,GenWatt Gasoline 2000kW,GC5060,,True,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,,,,,False,False,,,,,
01tdM000004kjwIQAQ,Installation: Industrial - Medium,IN7060,,True,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,,,,,False,False,,,,,
